Src,Dst,Weight
48,297,1.0
384,121,1.0
379,100,1.0
379,62,1.0
379,143,1.0
379,331,1.0
379,261,1.0
379,232,1.0
379,55,1.0
379,191,1.0
379,9,1.0
379,40,1.0
379,260,1.0
379,244,1.0
379,129,1.0
379,16,1.0
379,236,1.0
379,195,1.0
379,46,1.0
379,164,1.0
379,361,1.0
379,140,1.0
379,373,1.0
379,95,1.0
379,235,1.0
379,364,1.0
379,167,1.0
379,14,1.0
379,367,1.0
379,256,1.0
146,103,1.0
146,151,1.0
146,154,1.0
146,10,1.0
146,112,1.0
146,191,1.0
146,401,1.0
146,331,1.0
146,88,1.0
146,87,1.0
146,25,1.0
146,106,1.0
146,319,1.0
146,322,1.0
146,293,1.0
146,165,1.0
146,381,1.0
146,358,1.0
146,172,1.0
146,178,1.0
146,311,1.0
146,325,1.0
146,210,1.0
146,66,1.0
146,315,1.0
146,44,1.0
146,201,1.0
146,260,1.0
146,198,1.0
146,131,1.0
146,169,1.0
146,63,1.0
146,275,1.0
146,0,1.0
146,301,1.0
146,180,1.0
146,45,1.0
146,271,1.0
146,240,1.0
146,94,1.0
146,216,1.0
146,347,1.0
146,194,1.0
146,132,1.0
146,187,1.0
146,119,1.0
146,343,1.0
146,12,1.0
146,214,1.0
146,137,1.0
146,385,1.0
146,123,1.0
146,361,1.0
146,373,1.0
146,397,1.0
146,283,1.0
146,286,1.0
146,272,1.0
146,332,1.0
146,287,1.0
146,196,1.0
146,78,1.0
146,43,1.0
146,190,1.0
146,121,1.0
146,242,1.0
146,393,1.0
146,32,1.0
146,382,1.0
146,199,1.0
146,380,1.0
146,299,1.0
146,340,1.0
258,378,1.0
258,24,1.0
258,67,1.0
258,399,1.0
258,112,1.0
258,191,1.0
258,375,1.0
258,263,1.0
258,228,1.0
258,142,1.0
258,317,1.0
258,177,1.0
258,203,1.0
258,201,1.0
258,268,1.0
258,205,1.0
258,97,1.0
258,249,1.0
258,82,1.0
258,362,1.0
258,337,1.0
258,398,1.0
258,117,1.0
258,14,1.0
258,328,1.0
258,89,1.0
258,12,1.0
258,92,1.0
258,189,1.0
258,267,1.0
258,214,1.0
258,123,1.0
258,373,1.0
258,246,1.0
258,286,1.0
258,273,1.0
258,333,1.0
258,207,1.0
258,22,1.0
258,300,1.0
258,120,1.0
258,270,1.0
258,274,1.0
258,252,1.0
258,304,1.0
258,221,1.0
368,303,1.0
368,212,1.0
368,158,1.0
368,73,1.0
368,11,1.0
368,47,1.0
368,350,1.0
368,276,1.0
368,323,1.0
368,324,1.0
368,337,1.0
290,186,1.0
290,11,1.0
290,401,1.0
290,91,1.0
290,9,1.0
290,285,1.0
290,33,1.0
290,219,1.0
290,327,1.0
290,234,1.0
290,73,1.0
290,244,1.0
290,16,1.0
290,386,1.0
290,89,1.0
290,255,1.0
290,215,1.0
290,109,1.0
290,160,1.0
290,251,1.0
290,369,1.0
290,53,1.0
290,333,1.0
290,390,1.0
290,49,1.0
290,196,1.0
290,175,1.0
290,22,1.0
290,141,1.0
290,300,1.0
290,284,1.0
290,101,1.0
290,156,1.0
290,276,1.0
290,127,1.0
290,297,1.0
290,252,1.0
290,269,1.0
290,367,1.0
290,221,1.0
237,100,1.0
237,333,1.0
237,62,1.0
237,177,1.0
237,332,1.0
237,64,1.0
237,235,1.0
237,164,1.0
237,118,1.0
237,92,1.0
237,352,1.0
237,266,1.0
237,155,1.0
237,371,1.0
237,190,1.0
237,364,1.0
237,123,1.0
237,14,1.0
237,94,1.0
52,356,1.0
52,304,1.0
315,23,1.0
315,67,1.0
315,154,1.0
315,10,1.0
315,11,1.0
315,87,1.0
315,25,1.0
315,230,1.0
315,136,1.0
315,165,1.0
315,5,1.0
315,40,1.0
315,142,1.0
315,402,1.0
315,30,1.0
315,149,1.0
315,198,1.0
315,126,1.0
315,182,1.0
315,146,1.0
315,249,1.0
315,305,1.0
315,45,1.0
315,362,1.0
315,183,1.0
315,253,1.0
315,334,1.0
315,236,1.0
315,215,1.0
315,220,1.0
315,46,1.0
315,361,1.0
315,95,1.0
315,283,1.0
315,272,1.0
315,287,1.0
315,26,1.0
315,196,1.0
315,118,1.0
315,209,1.0
315,276,1.0
315,42,1.0
315,382,1.0
315,127,1.0
315,297,1.0
315,199,1.0
315,19,1.0
315,299,1.0
51,390,1.0
51,76,1.0
51,179,1.0
51,10,1.0
51,257,1.0
51,109,1.0
51,141,1.0
51,249,1.0
51,110,1.0
51,242,1.0
51,393,1.0
51,106,1.0
51,38,1.0
51,123,1.0
51,180,1.0
51,42,1.0
240,333,1.0
240,103,1.0
240,67,1.0
240,66,1.0
240,265,1.0
240,380,1.0
240,12,1.0
240,191,1.0
240,112,1.0
240,146,1.0
240,401,1.0
240,88,1.0
240,9,1.0
240,242,1.0
240,301,1.0
240,135,1.0
240,373,1.0
240,381,1.0
240,299,1.0
240,172,1.0
184,132,1.0
184,166,1.0
184,76,1.0
184,339,1.0
184,294,1.0
184,195,1.0
184,161,1.0
184,68,1.0
184,109,1.0
184,279,1.0
184,105,1.0
184,77,1.0
184,242,1.0
184,21,1.0
184,271,1.0
184,13,1.0
184,165,1.0
184,278,1.0
111,67,1.0
111,103,1.0
111,26,1.0
111,130,1.0
111,225,1.0
111,301,1.0
111,135,1.0
111,240,1.0
111,380,1.0
111,299,1.0
111,172,1.0
207,145,1.0
207,378,1.0
207,24,1.0
207,112,1.0
207,401,1.0
207,88,1.0
207,72,1.0
207,142,1.0
207,86,1.0
207,258,1.0
207,169,1.0
207,330,1.0
207,180,1.0
207,370,1.0
207,334,1.0
207,12,1.0
207,110,1.0
207,251,1.0
207,373,1.0
207,13,1.0
207,95,1.0
207,273,1.0
207,287,1.0
207,26,1.0
207,247,1.0
207,133,1.0
207,201,1.0
207,278,1.0
221,4,1.0
221,23,1.0
221,111,1.0
221,174,1.0
221,55,1.0
221,25,1.0
221,358,1.0
221,311,1.0
221,349,1.0
221,368,1.0
221,234,1.0
221,224,1.0
221,290,1.0
221,327,1.0
221,86,1.0
221,182,1.0
221,63,1.0
221,323,1.0
221,200,1.0
221,362,1.0
221,183,1.0
221,253,1.0
221,117,1.0
221,334,1.0
221,195,1.0
221,160,1.0
221,130,1.0
221,137,1.0
221,46,1.0
221,351,1.0
221,306,1.0
221,27,1.0
221,118,1.0
221,252,1.0
221,393,1.0
221,50,1.0
221,103,1.0
221,356,1.0
221,11,1.0
221,309,1.0
221,2,1.0
221,336,1.0
221,88,1.0
221,365,1.0
221,282,1.0
221,136,1.0
221,217,1.0
221,31,1.0
221,102,1.0
221,77,1.0
221,225,1.0
221,180,1.0
221,82,1.0
221,104,1.0
221,233,1.0
221,310,1.0
221,398,1.0
221,211,1.0
221,119,1.0
221,352,1.0
221,385,1.0
221,373,1.0
221,115,1.0
221,60,1.0
221,99,1.0
221,120,1.0
221,6,1.0
221,242,1.0
221,54,1.0
221,37,1.0
221,127,1.0
221,274,1.0
221,19,1.0
221,227,1.0
221,380,1.0
221,67,1.0
221,222,1.0
221,34,1.0
221,151,1.0
221,35,1.0
221,10,1.0
221,318,1.0
221,147,1.0
221,228,1.0
221,317,1.0
221,203,1.0
221,30,1.0
221,96,1.0
221,339,1.0
221,260,1.0
221,355,1.0
221,169,1.0
221,1,1.0
221,135,1.0
221,157,1.0
221,16,1.0
221,347,1.0
221,360,1.0
221,185,1.0
221,89,1.0
221,12,1.0
221,241,1.0
221,92,1.0
221,215,1.0
221,155,1.0
221,80,1.0
221,21,1.0
221,361,1.0
221,277,1.0
221,168,1.0
221,204,1.0
221,26,1.0
221,158,1.0
221,70,1.0
221,235,1.0
221,47,1.0
221,248,1.0
221,297,1.0
221,269,1.0
221,58,1.0
221,307,1.0
221,278,1.0
221,74,1.0
221,179,1.0
221,112,1.0
221,9,1.0
221,87,1.0
221,107,1.0
221,40,1.0
221,165,1.0
221,250,1.0
221,177,1.0
221,219,1.0
221,64,1.0
221,149,1.0
221,126,1.0
221,258,1.0
221,97,1.0
221,350,1.0
221,45,1.0
221,240,1.0
221,337,1.0
221,335,1.0
221,386,1.0
221,132,1.0
221,343,1.0
221,345,1.0
221,231,1.0
221,123,1.0
221,140,1.0
221,397,1.0
221,314,1.0
221,125,1.0
221,190,1.0
221,300,1.0
221,14,1.0
221,268,1.0
221,256,1.0
226,213,1.0
226,402,1.0
226,236,1.0
226,126,1.0
226,114,1.0
226,276,1.0
226,293,1.0
226,217,1.0
219,23,1.0
219,174,1.0
219,103,1.0
219,399,1.0
219,356,1.0
219,10,1.0
219,261,1.0
219,336,1.0
219,88,1.0
219,107,1.0
219,106,1.0
219,33,1.0
219,341,1.0
219,75,1.0
219,346,1.0
219,66,1.0
219,64,1.0
219,86,1.0
219,290,1.0
219,198,1.0
219,355,1.0
219,353,1.0
219,169,1.0
219,61,1.0
219,288,1.0
219,244,1.0
219,254,1.0
219,199,1.0
219,392,1.0
219,94,1.0
219,253,1.0
